EventID,CatYear,Peril,Type,Name,PCS#,ModelVersion
3160088,1979,HU,HIST,1979_12_17,,25
3160089,1986,HU,HIST,1986_01_19,,25
3160090,1992,HU,HIST,1992_11_11,,25
3160091,1986,HU,HIST,1986_10_20,,25
3160092,1973,HU,HIST,1973_04_02,,25
3160093,1983,HU,HIST,1983_01_18,,25
3160094,1981,HU,HIST,1981_11_24,,25
3160095,1986,HU,HIST,1986_12_02,,25
3160096,1993,HU,HIST,1993_01_16,,25
3160097,1999,HU,HIST,1999_02_04,,25
3160098,1990,HU,HIST,1990_02_08,,25
3160099,1982,HU,HIST,1982_03_01,,25
3160100,1983,HU,HIST,1983_04_05,,25
3160101,1981,HU,HIST,1981_11_20,,25
3160102,1981,HU,HIST,1981_02_08,,25
3160103,1978,HU,HIST,1978_11_14,,25
3160104,1989,HU,HIST,1989_01_15,,25
3160105,1981,HU,HIST,1981_11_02,,25
3160106,1982,HU,HIST,1982_12_15,,25
3160107,1988,HU,HIST,1988_12_21,,25
3160108,1989,HU,HIST,1989_01_27,,25
3160109,1985,HU,HIST,1985_11_10,,25
3160110,2008,HU,HIST,2008_10_25,,25
3160111,1988,HU,HIST,1988_12_30,,25
3160112,1994,HU,HIST,1994_01_22,,25
3160113,1982,HU,HIST,1982_11_22,,25
3160114,1988,HU,HIST,1988_02_01,,25
3160115,1984,HU,HIST,1984_01_11,,25
3160116,1986,HU,HIST,1986_03_20,,25
3160117,1984,HU,HIST,1984_01_23,,25
3160118,1984,HU,HIST,1984_01_02,,25
3160119,1995,HU,HIST,1995_01_26,,25
3160120,1986,HU,HIST,1986_03_24,,25
3160121,2003,HU,HIST,2003_01_02,,25
3160122,1972,HU,HIST,1972_03_27,,25
3160123,1977,HU,HIST,1977_11_11,,25
15000033,1843,EQ,HIST,NM 1843 Marked Tree AR M6.0 Event       ,,25
15000034,1811,EQ,HIST,NM 1811 Dec 16 New Madrid M6.8 Event    ,,25
15000035,1811,EQ,HIST,NM 1811 Dec 16 New Madrid M7.25 Event   ,,25
15000036,1811,EQ,HIST,NM 1811 Dec 16 New Madrid M7.6 Event    ,,25
15000037,1811,EQ,HIST,NM 1811 Dec 16 New Madrid M8.1 Event    ,,25
15000038,1812,EQ,HIST,NM 1812 Jan 23 New Madrid M6.9 Event    ,,25
15000039,1812,EQ,HIST,NM 1812 Jan 23 New Madrid M7.0 Event    ,,25
15000040,1812,EQ,HIST,NM 1812 Jan 23 New Madrid M7.5 Event    ,,25
15000041,1812,EQ,HIST,NM 1812 Jan 23 New Madrid M7.8 Event    ,,25
15000042,1812,EQ,HIST,NM 1812 Feb 07 New Madrid M7.2 Event    ,,25
15000043,1812,EQ,HIST,NM 1812 Feb 07 New Madrid M7.45 Event   ,,25
15000044,1812,EQ,HIST,NM 1812 Feb 07 New Madrid M7.8 Event    ,,25
15000045,1812,EQ,HIST,NM 1812 Feb 07 New Madrid M8.0 Event    ,,25
15000046,1811,EQ,HIST,NM 1811-12 Sequence M7.5 Event          ,,25
15000047,2011,EQ,HIST,SE 2011 Mineral Wells VA M5.8 Event     ,,25
15000048,1886,EQ,HIST,SE 1886 Charleston SC M7.1 Event        ,,25
15000049,2002,EQ,HIST,NE 2002 Plattsburgh NY M5.0 Event       ,,25
15000050,1944,EQ,HIST,NE 1944 Cornwall-Massena NY M5.8 Event  ,,25
15000051,1940,EQ,HIST,NE 1940 Ossippee NH M5.4 Event          ,,25
15000052,1904,EQ,HIST,NE 1904 Passamoquoddy ME M5.7 Event     ,,25
15000053,1884,EQ,HIST,NE 1884 New York NY M4.8 Event          ,,25
15000054,1755,EQ,HIST,NE 1755 Cape Ann MA M6.3 Event          ,,25
15000055,2002,EQ,HIST,AK 2002 Denali M7.9 Event               ,,25
15000056,1979,EQ,HIST,AK 1979 Saint Elias M7.5 Event          ,,25
15000057,1972,EQ,HIST,AK 1972 Sitka M7.6 Event                ,,25
15000058,1964,EQ,HIST,AK 1964 Prince William Sound M9.2 Event ,6461,25
15000059,1957,EQ,HIST,AK 1957 Andreanof Islands M9.1 NonUSGS  ,,25
15000060,1938,EQ,HIST,AK 1938 Shumagin Islands M8.2 Event     ,,25
15000061,1868,EQ,HIST,HI 1868 Apr 02 Kau M7.9 Event           ,,25
15000062,2012,EQ,HIST,WC 2012 Haida Gwaii M7.7 Event          ,,25
15000063,1958,EQ,HIST,WC 1958 Fairweather M7.7 Event          ,,25
15000064,1949,EQ,HIST,WC 1949 Queen Charlotte M8.1 Event      ,,25
15000065,1946,EQ,HIST,WC 1946 Vancouver Island M7.3 Event     ,,25
15000066,1918,EQ,HIST,WC 1918 Vancouver Island M6.9 Event     ,,25
15000067,1988,EQ,HIST,EC 1988 Saguenay M5.9 Event             ,,25
15000068,1933,EQ,HIST,EC 1933 Baffin Bay M7.3 Event           ,,25
15000069,1929,EQ,HIST,EC 1929 Grand Banks M7.2 Event          ,,25
15000070,1925,EQ,HIST,EC 1925 Charlevoix M6.2 Event           ,,25
15000071,1870,EQ,HIST,EC 1870 Charlevoix M6.6 Event           ,,25
15000072,1732,EQ,HIST,EC 1732 Montreal M5.8 Event             ,,25
15000073,1663,EQ,HIST,EC 1663 Charlevoix M7.0 Event           ,,25
15000074,2014,EQ,HIST,MX 2014 Guerrero M7.2 Event             ,,25
15000075,2003,EQ,HIST,MX 2003 Colima M7.5 Event               ,,25
15000076,1999,EQ,HIST,MX 1999 Puebla M6.9 Event               ,,25
15000077,1985,EQ,HIST,MX 1985 Michoacan M8.0 Event            ,,25
15000078,1912,EQ,HIST,MX 1912 Acambay M7.0 Event              ,,25
15000079,2012,EQ,HIST,MX 2012 Oaxaca M7.4 Event               ,,25
15000080,1999,EQ,HIST,MX 1999 Oaxaca M7.4 Event               ,,25
15000081,1995,EQ,HIST,MX 1995 Copala M7.3 Event               ,,25
15000082,1973,EQ,HIST,MX 1973 Veracruz M7.3 Event             ,,25
803094,0,EQ,RDS,DLM Japanese Earthquake,N/A,25
15006191,0,EQ,RDS,California Earthquake - San Francisco,N/A,25
15022534,0,EQ,RDS,California Earthquake - Los Angeles,N/A,25
15355285,0,EQ,RDS,New Madrid Earthquake,N/A,25
1750601,1983,WT,HIST, 1983 Freezing Storm,8324,25
1750602,1993,WT,HIST, 1993 West Coast Wind Storm,9342,25
1750603,1993,WT,HIST, 1993 Storm of the Century,,25
1750604,1995,WT,HIST, 1995 West Coast Wind Storm,,25
1750605,1996,WT,HIST, 1996 Snow Storm,9663,25
1750606,1998,WT,HIST, 1998 Canadian Ice Storm,9836,25
1750607,2002,WT,HIST, 2002 Midwestern Ice Strom,255,25
1750608,2003,WT,HIST, 2003 Snow Storm (Colorado),384,25
1750609,2006,WT,HIST, 2006 West Coast Wind Storm,,25
1750610,2021,WT,HIST, 2021 Freezing Storm,2117,25
154787,1998,HU,HIST,"VICKY, 1998-09-17",,25
154789,1998,HU,HIST,"WALDO, 1998-09-20",,25
154794,1998,HU,HIST,"ZEB, 1998-10-11",,25
154894,1999,HU,HIST,"BART, 1999-09-24",,25
154897,2004,HU,HIST,"CHABA, 2004-08-30",,25
154898,2004,HU,HIST,"SONGDA, 2004-07-09",,25
154899,2004,HU,HIST,"MA-ON, 2004-09-10",,25
154900,2004,HU,HIST,"TOKAGE, 2004-10-20",,25
154901,2006,HU,HIST,"SHANSHAN, 2006-09-17",,25
154902,2007,HU,HIST,"FITOW, 2007-06-09",,25
7400532,2001,HU,HIST,"NARI, 2001-05-09",,25
3160001,1999,HU,HIST,Anatol_1999_12_03,,25
3160002,2007,HU,HIST,Kyrill_2007_01_18,,25
3160003,1999,HU,HIST,Lothar_1999_12_26,,25
3160004,1987,HU,HIST,87J_1987_10_16,,25
3160005,2009,HU,HIST,Klaus_2009_01_24,,25
3160006,1999,HU,HIST,Martin_1999_12_28,,25
3160007,1972,HU,HIST,Lower_Saxony_1972_11_13,,25
3160008,1976,HU,HIST,Capella_1976_01_03,,25
3160009,1990,HU,HIST,Daria_1990_01_25,,25
3160010,1990,HU,HIST,Vivian_1990_02_26,,25
3160011,2002,HU,HIST,Jeanette_2002_10_28,,25
3160012,2008,HU,HIST,Emma_2008_03_01,,25
3160013,2005,HU,HIST,Erwin_Gudrun_2005_01_08,,25
3160014,1990,HU,HIST,Herta_1990_02_03,,25
3160015,1990,HU,HIST,Wiebke_1990_02_28,,25
3160016,1993,HU,HIST,Verena_1993_01_13,,25
3160017,1978,HU,HIST,1978_01_11,,25
3160018,1982,HU,HIST,1982_11_07,,25
3160019,1983,HU,HIST,1983_01_31,,25
3160020,1983,HU,HIST,1983_11_26,,25
3160021,1984,HU,HIST,1984_11_23,,25
3160022,1985,HU,HIST,1985_11_06,,25
3160023,1990,HU,HIST,Nana_1990_02_11,,25
3160024,1991,HU,HIST,Undine_1991_01_05,,25
3160025,1991,HU,HIST,1991_01_09,,25
3160026,1992,HU,HIST,Nyttarsdag_1992_01_01,,25
3160027,1994,HU,HIST,Lore_1994_01_28,,25
3160028,1995,HU,HIST,Thalia_1995_01_23,,25
3160029,1997,HU,HIST,Yuma_Xmas_97_1997_12_24,,25
3160030,1998,HU,HIST,1998_01_04,,25
3160031,1998,HU,HIST,Xylia_1998_10_28,,25
3160032,1998,HU,HIST,Silke_Xmas_98_1998_12_26,,25
3160033,2000,HU,HIST,Oratia_Tora_2000_10_30,,25
3160034,2002,HU,HIST,Anna_2002_02_26,,25
3160035,2004,HU,HIST,Dagmar_2004_12_17,,25
3160036,2005,HU,HIST,Gero_2005_01_11,,25
3160037,2007,HU,HIST,Per_Hanno_2007_01_14,,25
3160038,2008,HU,HIST,Paula_2008_01_26,,25
3160039,2008,HU,HIST,Johanna_2008_03_10,,25
3160040,2008,HU,HIST,Kirsten_2008_03_12,,25
3160041,2009,HU,HIST,Quinten_2009_02_09,,25
3160042,1988,HU,HIST,1988_02_09,,25
3160043,1991,HU,HIST,1991_12_21,,25
3160044,1996,HU,HIST,1996_02_07,,25
3160124,2002,HU,HIST,2002_01_26,,25
3160125,1987,HU,HIST,1987_11_11,,25
3160126,1987,HU,HIST,1987_10_10,,25
3160127,1986,HU,HIST,1986_12_29,,25
3160128,1986,HU,HIST,1986_01_14,,25
3160129,1988,HU,HIST,1988_11_29,,25
3160130,1997,HU,HIST,1997_04_11,,25
3160131,1998,HU,HIST,1998_10_24,,25
3160132,1990,HU,HIST,1990_03_09,,25
3160133,1986,HU,HIST,1986_12_19,,25
3160134,1998,HU,HIST,1998_11_01,,25
3160135,1995,HU,HIST,1995_04_07,,25
15000001,2014,EQ,HIST,CA 2014 South Napa M6.0 Event           ,1454,25
15000002,2010,EQ,HIST,CA 2010 Baja California M7.2 Event      ,,25
15000003,2003,EQ,HIST,CA 2003 San Simeon M6.6 Event           ,,25
15000004,1994,EQ,HIST,CA 1994 Northridge M6.7 Event           ,9478,25
15000005,1992,EQ,HIST,CA 1992 Petrolia M7.0 Event             ,9222,25
15000006,1992,EQ,HIST,CA 1992 Landers M7.3 Event              ,9222,25
15000007,1989,EQ,HIST,CA 1989 Loma Prieta M6.9 Event          ,8920,25
15000008,1987,EQ,HIST,CA 1987 Whittier Narrows M5.9 Event     ,8740,25
15000009,1984,EQ,HIST,CA 1984 Morgan Hill M6.2 Event          ,8436,25
15000010,1983,EQ,HIST,CA 1983 Coalinga M6.4 Event             ,8392,25
15000011,1971,EQ,HIST,CA 1971 San Fernando M6.7 Event         ,7143,25
15000012,1952,EQ,HIST,CA 1952 Kern County M7.3 Event          ,5227,25
15000012,1952,EQ,HIST,CA 1952 Kern County M7.3 Event          ,5229,25
15000013,1933,EQ,HIST,CA 1933 Long Beach M6.4 Event           ,,25
15000014,1925,EQ,HIST,CA 1925 Santa Barbara M6.3 Event        ,,25
15000015,1906,EQ,HIST,CA 1906 San Francisco M7.8 Event        ,,25
